,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value
44,Hitter,Shohei Ohtani,555.0,80.0,29.0,89.0,13.0,0.353,x,x,x,x,x,x,11.78725498605616,16.25487070819511,19.31154228828658
45,Hitter,Bo Bichette,663.0,92.0,22.0,74.0,24.0,0.32799999999999996,x,x,x,x,x,x,11.768331623004205,16.228774995483572,19.27136410259075
46,Hitter,Kyle Schwarber,585.0,86.0,37.0,90.0,5.0,0.354,x,x,x,x,x,x,11.72480379392768,16.168749210456923,19.178945582966573
47,Hitter,Matt Olson,642.0,91.0,38.0,103.0,1.0,0.344,x,x,x,x,x,x,11.607333335992523,16.00675499653457,18.92953167806327
48,Hitter,Marcus Semien,678.0,98.0,25.0,79.0,12.0,0.34700000000000003,x,x,x,x,x,x,11.557201886798936,15.93762268150277,18.823092316868916
49,Hitter,Austin Meadows,624.0,87.0,28.0,84.0,15.0,0.337,x,x,x,x,x,x,11.54648832420803,15.922848455022955,18.800345223444793
50,Hitter,Yoan Moncada,662.0,92.0,28.0,86.0,12.0,0.34,x,x,x,x,x,x,11.532918014511981,15.904134714644862,18.771532669279793
51,Hitter,Matt Chapman,656.0,95.0,34.0,97.0,3.0,0.34299999999999997,x,x,x,x,x,x,11.449308953535924,15.788836074053213,18.594013463601367
52,Hitter,Jonathan Villar,657.0,78.0,17.0,64.0,32.0,0.327,x,x,x,x,x,x,11.441109985769385,15.777529526333375,18.576605371364554
53,Hitter,Gleyber Torres,618.0,86.0,34.0,98.0,6.0,0.34,x,x,x,x,x,x,11.395778981844902,15.715017125546522,18.480358341254007
54,Hitter,Jorge Soler,637.0,87.0,35.0,96.0,3.0,0.349,x,x,x,x,x,x,11.382804898346366,15.697125593542209,18.452811697742174
55,Pitcher,Walker Buehler,x,x,x,x,x,x,194.0,21.0,0.0,225.0,3.45,1.13,11.338633589702395,15.667669732750136,18.407460070146595
56,Hitter,Ozzie Albies,652.0,89.0,24.0,82.0,14.0,0.344,x,x,x,x,x,x,11.339148001723757,15.636921821674965,18.360119141213534
57,Hitter,Eugenio Suarez,651.0,87.0,36.0,96.0,3.0,0.345,x,x,x,x,x,x,11.321406652035222,15.612456130068466,18.322450612616105
58,Hitter,Luis Robert,578.0,77.0,26.0,83.0,23.0,0.317,x,x,x,x,x,x,11.318038441064544,15.60781129682179,18.315299209059024
59,Hitter,Marcell Ozuna,634.0,82.0,31.0,100.0,7.0,0.34299999999999997,x,x,x,x,x,x,11.290774698054008,15.570214026025326,18.25741268400362
60,Hitter,Javier Baez,637.0,84.0,32.0,100.0,14.0,0.313,x,x,x,x,x,x,11.287663772499204,15.565923994738485,18.250807550218262
61,Hitter,Josh Bell,641.0,83.0,29.0,95.0,2.0,0.369,x,x,x,x,x,x,11.284962357715377,15.562198687354174,18.24507189189321
62,Hitter,Andrew Benintendi,665.0,94.0,19.0,80.0,13.0,0.353,x,x,x,x,x,x,11.264835811671352,15.53444376017773,18.202339101630074
63,Hitter,Joey Votto,670.0,91.0,23.0,76.0,4.0,0.382,x,x,x,x,x,x,11.257074544132006,15.523740810209054,18.185860336858006
64,Hitter,Max Kepler,640.0,93.0,31.0,89.0,6.0,0.34299999999999997,x,x,x,x,x,x,11.217224562165425,15.4687868531294,18.101250641898837
65,Hitter,Michael Conforto,603.0,82.0,31.0,85.0,5.0,0.358,x,x,x,x,x,x,10.99466719235269,15.16187559382929,17.628715643349302
66,Hitter,Ketel Marte,647.0,87.0,23.0,83.0,8.0,0.36,x,x,x,x,x,x,10.981002353986366,15.143031496441413,17.59970238540577
67,Hitter,Keston Hiura,613.0,79.0,29.0,92.0,12.0,0.33,x,x,x,x,x,x,10.895396531224947,15.024979279661371,17.41794364441947
68,Pitcher,Mike Clevinger,x,x,x,x,x,x,197.0,21.0,0.0,238.0,3.65,1.18,10.851767568739902,14.994920590607801,17.37166387410169
69,Pitcher,Stephen Strasburg,x,x,x,x,x,x,200.0,21.0,0.0,228.0,3.59,1.17,10.846592420093922,14.987769594929032,17.36065386508344
70,Hitter,Whit Merrifield,688.0,90.0,14.0,65.0,23.0,0.337,x,x,x,x,x,x,10.854066517172273,14.967984327436376,17.33019153741495
71,Hitter,Shin-Soo Choo,665.0,92.0,23.0,69.0,10.0,0.35600000000000004,x,x,x,x,x,x,10.819567138247853,14.920408963656357,17.256942271467334
72,Pitcher,Shane Bieber,x,x,x,x,x,x,198.0,21.0,0.0,215.0,3.66,1.13,10.777260027978741,14.891966426685839,17.21315080485011
73,Hitter,Justin Turner,620.0,87.0,26.0,85.0,3.0,0.364,x,x,x,x,x,x,10.730292525814136,14.797297409324925,17.067393936616135
74,Hitter,Lorenzo Cain,656.0,85.0,16.0,65.0,19.0,0.349,x,x,x,x,x,x,10.730068872725818,14.79698898704693,17.0669190751822
75,Hitter,Andrew McCutchen,590.0,83.0,27.0,74.0,8.0,0.359,x,x,x,x,x,x,10.717804144390543,14.780075670621956,17.040878538348913
76,Hitter,Miguel Sano,581.0,84.0,37.0,97.0,1.0,0.337,x,x,x,x,x,x,10.713904573445578,14.77469808087754,17.03259894845091
77,Hitter,Edwin Encarnacion,578.0,81.0,35.0,92.0,2.0,0.34600000000000003,x,x,x,x,x,x,10.683129736732448,14.732258938564124,16.967257650457363
78,Hitter,Victor Robles,609.0,71.0,17.0,71.0,27.0,0.326,x,x,x,x,x,x,10.677123377045659,14.72397604316132,16.95450491542873
79,Hitter,Jose Abreu,658.0,87.0,32.0,101.0,3.0,0.33299999999999996,x,x,x,x,x,x,10.669214898619396,14.713070086306267,16.937713591713802
80,Hitter,Vladimir Guerrero Jr.,622.0,86.0,25.0,87.0,3.0,0.363,x,x,x,x,x,x,10.636944330341608,14.668568298938814,16.869196548458024
81,Hitter,Adam Eaton,656.0,90.0,15.0,65.0,12.0,0.366,x,x,x,x,x,x,10.546664439934592,14.544070445295022,16.67751380203445
82,Pitcher,Blake Snell,x,x,x,x,x,x,179.0,19.5,0.0,224.0,3.41,1.18,10.524770957737273,14.543078235496276,16.675986149197936
83,Hitter,Khris Davis,628.0,85.0,38.0,103.0,1.0,0.321,x,x,x,x,x,x,10.450986820810863,14.412129011062547,16.474370569114768
84,Pitcher,Clayton Kershaw,x,x,x,x,x,x,194.0,21.0,0.0,198.0,3.53,1.16,10.32997323228408,14.27390766895964,16.26155849490467
85,Pitcher,Charlie Morton,x,x,x,x,x,x,192.0,19.5,0.0,221.0,3.5,1.19,10.318555898357037,14.25813125147668,16.237268381112735
86,Hitter,Mike Moustakas,626.0,82.0,36.0,97.0,3.0,0.32299999999999995,x,x,x,x,x,x,10.281451513673838,14.178336283133401,16.11441229777336
87,Hitter,Max Muncy,589.0,81.0,29.0,79.0,4.0,0.355,x,x,x,x,x,x,10.279936491717784,14.176247036226902,16.111195595049008
88,Hitter,Byron Buxton,542.0,73.0,20.0,73.0,23.0,0.317,x,x,x,x,x,x,10.276599852258736,14.17164574075388,16.104111224294304
89,Hitter,Eddie Rosario,634.0,86.0,30.0,102.0,5.0,0.32,x,x,x,x,x,x,10.267217951446272,14.158707903667628,16.084191522284275
90,Pitcher,Jack Flaherty,x,x,x,x,x,x,192.0,18.0,0.0,229.0,3.6,1.17,10.199437507271721,14.093534027670431,15.98384675985998
91,Hitter,Mallex Smith,588.0,66.0,7.0,48.0,39.0,0.318,x,x,x,x,x,x,10.13701117768745,13.979150044328486,15.807735803468816
92,Hitter,Jeff McNeil,660.0,88.0,20.0,73.0,9.0,0.348,x,x,x,x,x,x,10.055587964624127,13.866865733642427,15.63485760177564
93,Hitter,Franmil Reyes,572.0,80.0,36.0,93.0,1.0,0.32899999999999996,x,x,x,x,x,x,10.01733971887085,13.814120604240353,15.553648721715884
94,Hitter,Jorge Polanco,664.0,91.0,19.0,82.0,7.0,0.344,x,x,x,x,x,x,9.987769034288682,13.773342012854608,15.490864085970514
95,Hitter,Michael Brantley,621.0,85.0,21.0,87.0,5.0,0.349,x,x,x,x,x,x,9.983032921042554,13.7668108138124,15.480808344982133
96,Hitter,Trey Mancini,657.0,86.0,30.0,90.0,1.0,0.33799999999999997,x,x,x,x,x,x,9.953368933373012,13.72590355552128,15.417825607622326
97,Hitter,Ramon Laureano,597.0,76.0,23.0,79.0,14.0,0.327,x,x,x,x,x,x,9.923696977186683,13.68498530847915,15.354825951465074
98,Hitter,Justin Upton,624.0,81.0,30.0,91.0,5.0,0.325,x,x,x,x,x,x,9.841070273893411,13.571041359640736,15.1793924928755
99,Hitter,DJ LeMahieu,683.0,93.0,19.0,74.0,7.0,0.345,x,x,x,x,x,x,9.824716030776354,13.548488516954919,15.144669076373518
100,Hitter,Eloy Jimenez,590.0,80.0,33.0,95.0,1.0,0.32899999999999996,x,x,x,x,x,x,9.815636666421076,13.535967883959175,15.125391721388326
101,Pitcher,Patrick Corbin,x,x,x,x,x,x,192.0,19.5,0.0,217.0,3.57,1.23,9.756343620213151,13.481269011069223,15.041174766035642
102,Hitter,Nicholas Castellanos,661.0,88.0,27.0,90.0,3.0,0.331,x,x,x,x,x,x,9.773113344760755,13.477327335630562,15.03510597728561
103,Hitter,Paul DeJong,642.0,79.0,29.0,89.0,7.0,0.322,x,x,x,x,x,x,9.74380648261103,13.436912560886975,14.972881490740605
104,Hitter,Joc Pederson,502.0,77.0,32.0,75.0,3.0,0.34600000000000003,x,x,x,x,x,x,9.709668449684814,13.389835500782297,14.900399436550046
105,Hitter,Elvis Andrus,666.0,77.0,14.0,74.0,22.0,0.318,x,x,x,x,x,x,9.707368957629312,13.386664453231282,14.895517142712638
106,Hitter,Corey Seager,635.0,85.0,24.0,84.0,2.0,0.348,x,x,x,x,x,x,9.682166646539246,13.351909940089644,14.842007460942021
107,Hitter,Yuli Gurriel,620.0,81.0,24.0,93.0,5.0,0.332,x,x,x,x,x,x,9.65044590078998,13.308166369467664,14.774657803821096
108,Hitter,Oscar Mercado,617.0,77.0,16.0,67.0,23.0,0.313,x,x,x,x,x,x,9.629502303687511,13.279284711824056,14.730190246378449
109,Hitter,Bryan Reynolds,658.0,83.0,19.0,74.0,7.0,0.35100000000000003,x,x,x,x,x,x,9.621767426142712,13.268618154208806,14.713767512983946
110,Hitter,Cavan Biggio,592.0,76.0,20.0,66.0,12.0,0.345,x,x,x,x,x,x,9.548031158209904,13.166934301338014,14.557210274326788
111,Hitter,Jean Segura,673.0,85.0,16.0,71.0,13.0,0.33399999999999996,x,x,x,x,x,x,9.492947425153801,13.090972683471016,14.440256197534556
112,Hitter,Tim Anderson,638.0,78.0,21.0,79.0,17.0,0.308,x,x,x,x,x,x,9.48887888785982,13.085362085603794,14.431617857380079
113,Hitter,Yasiel Puig,514.0,64.0,23.0,75.0,13.0,0.335,x,x,x,x,x,x,9.416717977843373,12.985850684188401,14.27840542708115
114,Pitcher,Yu Darvish,x,x,x,x,x,x,185.0,18.0,0.0,221.0,3.87,1.19,9.34573454283707,12.913891349316371,14.167613453280925
115,Pitcher,Aaron Nola,x,x,x,x,x,x,198.0,19.5,0.0,221.0,3.82,1.24,9.335028816974564,12.899098228457836,14.144837269183341
116,Hitter,David Dahl,578.0,75.0,23.0,79.0,9.0,0.331,x,x,x,x,x,x,9.323187834880935,12.856870664415187,14.079821727038883
117,Hitter,Mark Canha,594.0,77.0,25.0,80.0,4.0,0.342,x,x,x,x,x,x,9.313288516151431,12.843219297219207,14.058803440538558
118,Hitter,Yasmani Grandal,544.0,74.0,25.0,73.0,3.0,0.358,x,x,x,x,x,x,9.30757499816484,12.835340236634632,14.04667246857488
119,Pitcher,Trevor Bauer,x,x,x,x,x,x,200.0,18.0,0.0,238.0,3.93,1.24,9.221517334051311,12.742248603567285,13.903344215330705
120,Hitter,Ryan Braun,532.0,69.0,25.0,80.0,9.0,0.32899999999999996,x,x,x,x,x,x,9.228646413063727,12.726496069988785,13.879090874320514
121,Hitter,Rougned Odor,573.0,71.0,28.0,79.0,13.0,0.302,x,x,x,x,x,x,9.135593838709397,12.598174627296348,13.681521150502569
122,Hitter,Nick Senzel,597.0,74.0,18.0,63.0,17.0,0.32299999999999995,x,x,x,x,x,x,9.07144231718977,12.509708339830008,13.545314296720449
123,Hitter,Amed Rosario,625.0,69.0,15.0,68.0,20.0,0.318,x,x,x,x,x,x,8.984720835416539,12.390117605981072,13.361186782550021
124,Pitcher,Carlos Carrasco,x,x,x,x,x,x,173.0,18.0,0.0,189.0,3.81,1.17,8.839075780750543,12.213792692033268,13.089708658395892
125,Hitter,Lourdes Gurriel Jr.,591.0,74.0,27.0,84.0,8.0,0.307,x,x,x,x,x,x,8.798505843455201,12.133323244457559,12.965814115132222
126,Hitter,David Peralta,605.0,77.0,22.0,77.0,3.0,0.342,x,x,x,x,x,x,8.793896633671544,12.126967047939461,12.956027816254483
127,Hitter,Brandon Lowe,611.0,75.0,25.0,78.0,7.0,0.321,x,x,x,x,x,x,8.790661371324898,12.122505553620892,12.949158689927348
128,Hitter,Jackie Bradley Jr.,576.0,73.0,20.0,72.0,11.0,0.325,x,x,x,x,x,x,8.77764390082989,12.104554190042652,12.921519926912396
129,Pitcher,Luis Castillo,x,x,x,x,x,x,190.0,18.0,0.0,215.0,3.85,1.25,8.745442798197095,12.084411083999642,12.890506654194649
130,Pitcher,Noah Syndergaard,x,x,x,x,x,x,195.0,18.0,0.0,200.0,3.89,1.21,8.704117972656068,12.027308637464255,12.802589043898124
131,Hitter,Brian Anderson,651.0,75.0,21.0,75.0,5.0,0.33899999999999997,x,x,x,x,x,x,8.720038537801983,12.025115191800488,12.799211911870067
132,Hitter,Kolten Wong,577.0,62.0,12.0,61.0,16.0,0.34700000000000003,x,x,x,x,x,x,8.672561309326806,11.959643102551517,12.698408006308423
133,Hitter,Eduardo Escobar,651.0,79.0,25.0,86.0,4.0,0.317,x,x,x,x,x,x,8.639675198339354,11.914292468936758,12.628584039477637
134,Hitter,Aristides Aquino,552.0,68.0,32.0,87.0,7.0,0.295,x,x,x,x,x,x,8.609720267526551,11.872983993977062,12.56498357007915
135,Hitter,Eric Hosmer,642.0,76.0,24.0,82.0,3.0,0.327,x,x,x,x,x,x,8.53348705198897,11.767856798230536,12.403124798905761
136,Pitcher,David Price,x,x,x,x,x,x,164.0,18.0,0.0,175.0,3.69,1.19,8.508027314348947,11.756351502486039,12.385410704869773
137,Pitcher,Tyler Glasnow,x,x,x,x,x,x,163.0,16.5,0.0,202.0,3.69,1.23,8.503322695491828,11.749850682621929,12.375401737091728
138,Hitter,Willie Calhoun,549.0,71.0,25.0,79.0,2.0,0.335,x,x,x,x,x,x,8.47892722350754,11.69261765570956,12.287283079109958
139,Hitter,Danny Santana,579.0,69.0,20.0,70.0,18.0,0.295,x,x,x,x,x,x,8.445865422096192,11.64702474133236,12.217086085430985
140,Hitter,Brandon Belt,566.0,69.0,18.0,64.0,5.0,0.358,x,x,x,x,x,x,8.439816642780686,11.638683348375961,12.204243284819704
141,Hitter,J.T. Realmuto,537.0,69.0,23.0,75.0,6.0,0.32899999999999996,x,x,x,x,x,x,8.433798674819206,11.630384444920015,12.191465903040157
142,Hitter,Matt Carpenter,540.0,72.0,21.0,59.0,5.0,0.35200000000000004,x,x,x,x,x,x,8.418043601580194,11.608657870004885,12.158014647229496
143,Hitter,Gregory Polanco,556.0,67.0,22.0,71.0,9.0,0.325,x,x,x,x,x,x,8.387672994545605,11.566776168857277,12.093531611852551
144,Hitter,Miguel Cabrera,603.0,71.0,20.0,77.0,1.0,0.35,x,x,x,x,x,x,8.367691573924665,11.53922137266905,12.051106952664313
145,Hitter,Gary Sanchez,459.0,66.0,31.0,78.0,1.0,0.324,x,x,x,x,x,x,8.311521623180894,11.4617618379338,11.931846612664938
146,Hitter,Christian Walker,566.0,68.0,24.0,78.0,5.0,0.325,x,x,x,x,x,x,8.295032780090148,11.439023379074222,11.896837412778513
147,Hitter,C.J. Cron,530.0,68.0,28.0,79.0,2.0,0.324,x,x,x,x,x,x,8.255088788011927,11.383939780087966,11.812028115047195
148,Hitter,Mitch Haniger,555.0,70.0,22.0,65.0,6.0,0.335,x,x,x,x,x,x,8.21283223351677,11.325667109249409,11.722308772417126
149,Hitter,Renato Nunez,608.0,72.0,29.0,85.0,2.0,0.311,x,x,x,x,x,x,8.194657835597823,11.300604235092429,11.683720793499624
150,Pitcher,Luis Severino,x,x,x,x,x,x,171.0,18.0,0.0,186.0,3.98,1.21,8.176700273360808,11.298525379905797,11.680520090355518
151,Pitcher,Chris Paddack,x,x,x,x,x,x,166.0,16.5,0.0,178.0,3.87,1.17,8.1656347512795,11.283235094350768,11.656978448126303
152,Hitter,Andrelton Simmons,633.0,71.0,13.0,73.0,11.0,0.32799999999999996,x,x,x,x,x,x,8.18014685377916,11.280593288218846,11.652910999250146
153,Hitter,Kole Calhoun,576.0,71.0,23.0,71.0,4.0,0.332,x,x,x,x,x,x,8.175284526596366,11.27388803752301,11.642587280156022
154,Hitter,Hunter Dozier,628.0,73.0,22.0,81.0,4.0,0.322,x,x,x,x,x,x,8.14400879948185,11.230758156889001,11.5761824889819
155,Hitter,Daniel Murphy,549.0,70.0,20.0,77.0,2.0,0.341,x,x,x,x,x,x,8.119240656751723,11.196602370979845,11.523594635796428
156,Hitter,Cesar Hernandez,578.0,71.0,11.0,56.0,9.0,0.35600000000000004,x,x,x,x,x,x,8.114405534693072,11.189934636718162,11.513328678767461
157,Hitter,Niko Goodrum,636.0,72.0,18.0,70.0,13.0,0.309,x,x,x,x,x,x,8.09708428462338,11.166048271256464,11.47655210792892
158,Hitter,Yandy Diaz,586.0,69.0,13.0,63.0,5.0,0.361,x,x,x,x,x,x,8.088669803744503,11.154444526455448,11.458686437098784
159,Hitter,Dansby Swanson,605.0,69.0,18.0,67.0,10.0,0.325,x,x,x,x,x,x,8.075767537788437,11.136652032341534,11.431292276977473
160,Hitter,Didi Gregorius,600.0,70.0,24.0,83.0,6.0,0.308,x,x,x,x,x,x,8.056320107189327,11.109833619541515,11.39000138826109
161,Hitter,Randal Grichuk,548.0,71.0,30.0,84.0,3.0,0.298,x,x,x,x,x,x,7.992161132956201,11.021357054627666,11.25377871083774
162,Pitcher,Andrew Heaney,x,x,x,x,x,x,168.0,16.5,0.0,182.0,4.01,1.18,7.969410644794433,11.012093561317712,11.239516201186682
163,Pitcher,Max Fried,x,x,x,x,x,x,172.0,18.0,0.0,178.0,3.6,1.29,7.967097681033536,11.00889751904129,11.234595424295339
164,Pitcher,Lucas Giolito,x,x,x,x,x,x,191.0,18.0,0.0,219.0,4.26,1.27,7.948412671893996,10.983078662665367,11.194843499625126
165,Hitter,Ryan McMahon,532.0,64.0,20.0,72.0,5.0,0.337,x,x,x,x,x,x,7.962148939582595,10.979969613401154,11.19005666126375
166,Pitcher,Lance Lynn,x,x,x,x,x,x,192.0,18.0,0.0,207.0,4.07,1.28,7.922923531738154,10.947857890552562,11.140615943629985
167,Pitcher,Zack Greinke,x,x,x,x,x,x,199.0,21.0,0.0,180.0,4.27,1.24,7.909266741415616,10.92898700291957,11.111561438166039
168,Hitter,Trent Grisham,522.0,66.0,18.0,56.0,10.0,0.335,x,x,x,x,x,x,7.918946739641595,10.92039287775055,11.09832951916269
169,Hitter,Kevin Kiermaier,555.0,63.0,17.0,62.0,18.0,0.302,x,x,x,x,x,x,7.918321624581279,10.919530831031851,11.097002271521465
170,Hitter,Justin Smoak,472.0,63.0,24.0,68.0,1.0,0.349,x,x,x,x,x,x,7.914186343914056,10.913828192659532,11.088222221479842
171,Hitter,Kyle Tucker,409.0,56.0,20.0,59.0,14.0,0.315,x,x,x,x,x,x,7.840619565789113,10.812378069772222,10.932024844489735
172,Hitter,Kevin Newman,577.0,63.0,9.0,54.0,18.0,0.32899999999999996,x,x,x,x,x,x,7.826713353120617,10.793201112182482,10.902499099336183
173,Pitcher,Brandon Woodruff,x,x,x,x,x,x,183.0,18.0,0.0,201.0,4.07,1.28,7.800304395297275,10.778423353536082,10.879746567622405
174,Hitter,Nomar Mazara,523.0,66.0,25.0,77.0,3.0,0.318,x,x,x,x,x,x,7.77714689001078,10.72484792475538,10.797259319618163
175,Hitter,Hunter Renfroe,560.0,69.0,30.0,82.0,4.0,0.293,x,x,x,x,x,x,7.771559913661651,10.717143367730673,10.785397021536312
176,Hitter,Kyle Seager,593.0,69.0,26.0,78.0,3.0,0.312,x,x,x,x,x,x,7.736245220018308,10.668443667931939,10.710416675014539
177,Hitter,Jesse Winker,482.0,62.0,17.0,57.0,3.0,0.368,x,x,x,x,x,x,7.701206077606095,10.620123959033615,10.636021380341266
178,Pitcher,Zack Wheeler,x,x,x,x,x,x,189.0,16.5,0.0,194.0,4.13,1.23,7.667497368703432,10.594911238570958,10.5972026910093
179,Hitter,Willy Adames,595.0,67.0,18.0,69.0,7.0,0.326,x,x,x,x,x,x,7.680462359815675,10.591517939134205,10.591978207723521
